Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Login_Logout,,,,2021-10-11 19:34:12,2021-10-11 19:34:22,"9,480s",FAILED
,,,,,,,
Test Cases/AD_Login/TC_Login,,,,2021-10-11 19:34:13,2021-10-11 19:34:21,"8,654s",FAILED
"startApplication(""C:\Users\Riza\Downloads\Alodokter_user_v3.6.0_staging_debug_300921_1624.apk"", false)",,,,2021-10-11 19:34:13,2021-10-11 19:34:21,"8,117s",FAILED
,,,,,,,
Test Cases/AD_Logout/TC_Logout,,Test Case Function Logout,,2021-10-11 19:34:21,2021-10-11 19:34:22,"0,426s",FAILED
device_Height = getDeviceHeight(),,Get Device Height and Store in device_height variable,,2021-10-11 19:34:22,2021-10-11 19:34:22,"0,092s",PASSED
