Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Login_Logout,,,,2021-10-12 07:05:32,2021-10-12 07:05:34,2.172s,FAILED
,,,,,,,
Test Cases/AD_Login/TC_Login,,,,2021-10-12 07:05:32,2021-10-12 07:05:34,1.201s,FAILED
"startApplication(""C:\Users\Riza\Downloads\Alodokter_user_v3.6.0_staging_debug_300921_1624.apk"", false)",,,,2021-10-12 07:05:33,2021-10-12 07:05:34,0.539s,FAILED
,,,,,,,
Test Cases/AD_Logout/TC_Logout,,Test Case Function Logout,,2021-10-12 07:05:34,2021-10-12 07:05:34,0.456s,FAILED
device_Height = getDeviceHeight(),,Get Device Height and Store in device_height variable,,2021-10-12 07:05:34,2021-10-12 07:05:34,0.094s,PASSED
