Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Login_Logout,,,,2021-10-11 18:24:21,2021-10-11 18:24:23,1.845s,FAILED
,,,,,,,
Test Cases/AD_Login/TC_Login,,,,2021-10-11 18:24:22,2021-10-11 18:24:23,0.935s,FAILED
"startApplication(""C:\Users\Riza\Downloads\Alodokter_user_v3.6.0_staging_debug_300921_1624.apk"", false)",,,,2021-10-11 18:24:22,2021-10-11 18:24:23,0.419s,FAILED
,,,,,,,
Test Cases/AD_Logout/TC_Logout,,Test Case Function Logout,,2021-10-11 18:24:23,2021-10-11 18:24:23,0.416s,FAILED
device_Height = getDeviceHeight(),,Get Device Height and Store in device_height variable,,2021-10-11 18:24:23,2021-10-11 18:24:23,0.087s,PASSED
