Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Login_Logout,,,,2021-10-11 13:58:31,2021-10-11 13:59:30,"59,279s",FAILED
,,,,,,,
Test Cases/AD_Login/TC_Login,,,,2021-10-11 13:58:31,2021-10-11 13:59:25,"53,646s",FAILED
"startApplication(""C:\Users\Riza\Downloads\Alodokter_user_v3.6.0_staging_debug_300921_1624.apk"", false)",,,,2021-10-11 13:58:31,2021-10-11 13:58:52,"20,607s",PASSED
"tap(findTestObject(""spy/android.widget.TextView - Masuk menggunakan Email""), 0)",,,,2021-10-11 13:58:52,2021-10-11 13:59:25,"32,621s",FAILED
,,,,,,,
Test Cases/AD_Logout/TC_Logout,,Test Case Function Logout,,2021-10-11 13:59:25,2021-10-11 13:59:30,"5,066s",FAILED
device_Height = getDeviceHeight(),,Get Device Height and Store in device_height variable,,2021-10-11 13:59:25,2021-10-11 13:59:25,"0,334s",PASSED
device_Width = getDeviceWidth(),,Get Width Height and Store in device_Width variable,,2021-10-11 13:59:25,2021-10-11 13:59:26,"0,359s",PASSED
startX = device_Width / 2,,Storing the startX value by dividing device width by 2. Because x coordinates are constant for Vertical Swiping,,2021-10-11 13:59:26,2021-10-11 13:59:26,"0,003s",PASSED
endX = startX,,Here startX and endX values are equal for vertical Swiping for that assigning startX value to endX,,2021-10-11 13:59:26,2021-10-11 13:59:26,"0,001s",PASSED
startY = device_Height * 0.30,,Storing the startY value,,2021-10-11 13:59:26,2021-10-11 13:59:26,"0,002s",PASSED
endY = device_Height * 0.70,,Storing the endY value,,2021-10-11 13:59:26,2021-10-11 13:59:26,"0,001s",PASSED
"swipe(startX, endY, endX, startY)",,Swipe Vertical from top to bottom,,2021-10-11 13:59:26,2021-10-11 13:59:28,"1,834s",PASSED
"tap(findTestObject(""spy/android.widget.TextView - Keluar""), 0)",,,,2021-10-11 13:59:28,2021-10-11 13:59:30,"2,127s",FAILED
