Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Login_Logout,,,,2021-10-11 19:26:07,2021-10-11 19:26:09,1.813s,FAILED
,,,,,,,
Test Cases/AD_Login/TC_Login,,,,2021-10-11 19:26:08,2021-10-11 19:26:09,0.875s,FAILED
"startApplication(""C:\Users\Riza\Downloads\Alodokter_user_v3.6.0_staging_debug_300921_1624.apk"", false)",,,,2021-10-11 19:26:08,2021-10-11 19:26:08,0.410s,FAILED
,,,,,,,
Test Cases/AD_Logout/TC_Logout,,Test Case Function Logout,,2021-10-11 19:26:09,2021-10-11 19:26:09,0.448s,FAILED
device_Height = getDeviceHeight(),,Get Device Height and Store in device_height variable,,2021-10-11 19:26:09,2021-10-11 19:26:09,0.097s,PASSED
