Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Login_Logout,,,,2021-10-11 22:13:49,2021-10-11 22:13:51,2.063s,FAILED
,,,,,,,
Test Cases/AD_Login/TC_Login,,,,2021-10-11 22:13:50,2021-10-11 22:13:51,1.029s,FAILED
"startApplication(""C:\Users\Riza\Downloads\Alodokter_user_v3.6.0_staging_debug_300921_1624.apk"", false)",,,,2021-10-11 22:13:50,2021-10-11 22:13:51,0.505s,FAILED
,,,,,,,
Test Cases/AD_Logout/TC_Logout,,Test Case Function Logout,,2021-10-11 22:13:51,2021-10-11 22:13:51,0.547s,FAILED
device_Height = getDeviceHeight(),,Get Device Height and Store in device_height variable,,2021-10-11 22:13:51,2021-10-11 22:13:51,0.156s,PASSED
